Shapes
------
area = 5.0585	Rectangle@ee4687
area = 63.7953	Rectangle@4fd120
area = 38.0613	Rectangle@107a28c
area = 77.8612	Circle@137f89
area = 7.4289	Square@efd1b2
area = 32.8471	Rectangle@3bc85e
area = 69.2859	Square@641557
area = 31.7544	Rectangle@146c825
area = 56.1129	Circle@12af7be
area = 117.1753	Circle@1efab7d
area = 10.5032	Triangle@12fc2ba
area = 11.7004	Triangle@fd2e9a
area = 5.6571	Square@d0af7c
area = 30.8344	Square@485e58
area = 76.1317	Rectangle@1537579
area = 9.3165	Rectangle@b905b7
area = 29.8092	Square@1a7ea53
area = 8.1485	Square@143d3e1
area = 1.6823	Triangle@11d808d
area = 4.0785	Circle@11fabe4
area = 29.9874	Square@13e3c66
area = 14.1964	Rectangle@49317b
area = 73.8244	Circle@1afdf57
area = 177.4626	Circle@197148d
area = 36.9297	Rectangle@1eaca55
area = 11.4224	Triangle@9bfa7a
area = 31.1062	Triangle@1b5c599
area = 3.5309	Triangle@4388de
area = 45.4226	Triangle@17048e1
area = 20.2032	Square@8921df
area = 10.3917	Triangle@1aba81a
area = 1.1707	Triangle@162df89
area = 3.9304	Triangle@8cbb84
area = 25.1754	Square@1a8ed13
area = 108.9516	Square@14f6284
area = 50.4522	Rectangle@5a76f3
area = 7.6131	Rectangle@12bb1e7
area = 14.2227	Rectangle@14b0ca4
area = 23.1183	Triangle@180094b
area = 60.8797	Rectangle@de0466
area = 46.4356	Triangle@663153
area = 8.5475	Circle@1f12817
area = 298.3364	Circle@4abff3
area = 45.3055	Square@857468
area = 3.6349	Square@1863502
area = 69.1439	Square@1d90df5
area = 15.9841	Square@2f9b9a
area = 82.3986	Circle@1068503
area = 16.4784	Circle@1d28304
area = 110.1978	Circle@89822e
area = 96.8992	Square@60352e
area = 27.9584	Triangle@1138a3c
area = 72.6051	Square@dee4b9
area = 26.5828	Rectangle@7489be
area = 100.9483	Circle@1d8045b
area = 81.8155	Rectangle@3f2136
area = 49.4908	Triangle@10def24
area = 112.3077	Square@19caf42
area = 274.3686	Circle@cf9c76
area = 257.8687	Circle@1cc3b48
area = 20.4253	Circle@1d2869a
area = 91.9711	Square@17cd41d
area = 11.1675	Square@128d628
area = 7.6277	Triangle@16eb67e
area = 23.9594	Triangle@4701df
area = 9.6435	Rectangle@16eff76
area = 23.8487	Rectangle@daf0e5
area = 31.9893	Triangle@496e46
area = 29.4240	Rectangle@ccd229
area = 20.1664	Circle@2f1dc9
area = 194.8434	Circle@18983f1
area = 38.8780	Triangle@9be298
area = 7.6677	Rectangle@e2478
area = 35.7123	Triangle@6fa8a5
area = 74.9900	Circle@1963912
area = 238.4734	Circle@cc951a
area = 1.1591	Triangle@152479f
area = 14.5547	Triangle@67e0d0
area = 2.1402	Triangle@8519e7
area = 210.9821	Circle@5d21a8
area = 1.0404	Triangle@1cafe03
area = 26.6626	Circle@e0ee0a
area = 113.4617	Circle@4a9d10
area = 108.5482	Circle@187a810
area = 16.0886	Rectangle@1676385
area = 23.5477	Rectangle@36411d
area = 6.1114	Triangle@e6ea16
area = 9.0624	Rectangle@a71f72
area = 74.3505	Rectangle@862528
area = 22.0028	Circle@aab34c
area = 1.6894	Square@1f95c95
area = 17.8928	Rectangle@1c99057
area = 59.9248	Square@5948a3
area = 75.9652	Circle@120be77
area = 18.0129	Triangle@e4b72
area = 109.7380	Rectangle@19c320c
area = 272.3430	Circle@1e07fcc
area = 11.4953	Square@1d5a781
area = 48.8317	Triangle@12238d2
area = 4.7250	Rectangle@1c66328
